Cartridge (Wb + type),MV (fps),V @ 200 yds,ME (ft lb),E @ 200 yds,Bullet Weight (grains),Bullet Weight (grams),Bullet Type,MV (mps)
7mm Wby. Mag. (160 Sp),3200,2791.0,3638,2767.0,160.0,10.3678256,Sp,975.36
7mm Dakota (160 SpHP),3200,2811.0,3637,2808.0,160.0,10.3678256,SpHP,975.36
7mm STW (160 SpBT),3200,2850.0,3640,2890.0,160.0,10.3678256,SpBT,975.36
7mm Ultra Mag (160 Sp),3200,2791.0,3637,2767.0,160.0,10.3678256,Sp,975.36
7.5x54 MAS (150 SP),2500,2015.0,2081,1353.0,150.0,9.7198365,SP,762.0
7.5x55 Swiss (180 Sp),2651,2223.0,2810,1976.0,180.0,11.6638038,Sp,808.0248
.30 Carbine (110 RN),1990,1236.0,967,373.0,110.0,7.1278801000000005,RN,606.552
.30 Rem. (170 RN),2120,1560.0,1700,920.0,170.0,11.0158147,RN,646.176
.30-30 Win. (150 FP),2390,1605.0,1902,858.0,150.0,9.7198365,FP,728.472
.30-30 Win. (160 EVO),2400,1916.0,2046,1304.0,160.0,10.3678256,EVO,731.52
.30-30 Win. (170 FP),2200,1619.0,1827,989.0,170.0,11.0158147,FP,670.5600000000001
.300 Sav. (150 Sp),2630,2095.0,2303,1462.0,150.0,9.7198365,Sp,801.624
.300 Sav. (180 Sp),2350,1940.0,2205,1495.0,180.0,11.6638038,Sp,716.2800000000001
.307 Win. (180 FP),2435,1811.0,2369,1310.0,180.0,11.6638038,FP,742.188
.308 Marlin (160 EVO),2660,2232.0,2513,1769.0,160.0,10.3678256,EVO,810.768
.30-40 Krag (180 Sp),2430,2007.0,2360,1610.0,180.0,11.6638038,Sp,740.664
.308 Win. (150 Sp),2820,2288.0,2648,1744.0,150.0,9.7198365,Sp,859.5360000000001
.308 Win. (165 BTSP),2685,2264.0,2641,1878.0,165.0,10.69182015,BTSP,818.388
.308 Win. (180 Sp),2620,2198.0,2743,1930.0,180.0,11.6638038,Sp,798.576
.30-06 Spfd. (150 Sp),2910,2342.0,2820,1827.0,150.0,9.7198365,Sp,886.9680000000001
.30-06 Spfd. (165 PSP),2800,2283.0,2872,1909.0,165.0,10.69182015,PSP,853.44
.30-06 Spfd. (180 Sp),2700,2023.0,2913,1635.0,180.0,11.6638038,Sp,822.96
.30R Blaser (180 SP),2800,2383.0,3133,2270.0,180.0,11.6638038,SP,853.44
.300 Rem. SAUM (150 Sp),3200,2672.0,3410,2290.0,150.0,9.7198365,Sp,975.36
.300 Rem. SAUM (180 Sp),2960,2571.0,3501,2642.0,180.0,11.6638038,Sp,902.2080000000001
.300 WSM (150 Sp),3300,2834.0,3628,2676.0,150.0,9.7198365,Sp,1005.84
.300 WSM (180 Sp),2970,2549.0,3526,2598.0,180.0,11.6638038,Sp,905.2560000000001
.308 Norma Mag. (180 Sp),2953,2469.0,3486,2437.0,180.0,11.6638038,Sp,900.0744000000001
.300 Win. Mag. (150 Sp),3290,2636.0,3605,2314.0,150.0,9.7198365,Sp,1002.792
.300 Win. Mag. (180 Sp),2960,2540.0,3501,2578.0,180.0,11.6638038,Sp,902.2080000000001
.300 H&H. Mag. (180 Sp),2880,2380.0,3315,2260.0,180.0,11.6638038,Sp,877.8240000000001
.300 Wby. Mag. (180 Sp),3240,2826.0,4195,3193.0,180.0,11.6638038,Sp,987.552
.300 Dakota (200 SpHP),3000,2656.0,3996,3131.0,200.0,12.959782,SpHP,914.4000000000001
.300 Ultra Mag (180 Sp),3250,2834.0,4221,3201.0,180.0,11.6638038,Sp,990.6
.30-378 Wby. (200 Sp),3160,2759.0,4434,3381.0,200.0,12.959782,Sp,963.168
7.62x39 (125 Sp),2365,1783.0,1552,882.0,125.0,8.09986375,Sp,720.8520000000001
.303 Savage (190 RN),1890,1440.0,1650,875.0,190.0,12.3117929,RN,576.072
7.65x53 (180 Sp),2592,2189.0,2686,1916.0,180.0,11.6638038,Sp,790.0416
7.62x54R (150 SP),2700,2193.0,2428,1602.0,150.0,9.7198365,SP,822.96
.303 British (150 SP),2830,2325.0,2667,1800.0,150.0,9.7198365,SP,862.5840000000001
.303 British (180 Sp),2460,2020.0,2420,1625.0,180.0,11.6638038,Sp,749.808
7.7x58 Jap. (180 Sp),2493,2099.0,2485,1761.0,180.0,11.6638038,Sp,759.8664
.310 Cadet (120 RN),1200,920.0,384,225.0,120.0,7.7758692,RN,365.76
